UserID,Age,Gender,TotalCoursesEnrolled,EnrollmentFrequency,AverageSpending,PreferredCategory,PreferredLevel,AverageCourseRating,CategoryDiversity,LearningDepthIndex,TotalSpending,Cluster,SegmentName
U00094,27,Male,1,1.0,299.57,Data Science,Beginner,3.74,1,1.0,299.57,3,Data Science Beginners
U00095,20,Male,1,1.0,248.1,Artificial Intelligence,Beginner,1.2,1,1.0,248.1,0,AI Beginner Learners
U00096,34,Female,4,1.0,0.0,Machine Learning,Beginner,2.58,3,1.5,0.0,6,Advanced Machine Learning Learners
U00097,25,Male,2,2.0,0.0,Cybersecurity,Advanced,2.0949999999999998,2,3.0,0.0,2,Cybersecurity Beginners
U00098,31,Male,1,1.0,0.0,Design,Advanced,4.45,1,3.0,0.0,7,Deep Design Learners
U00099,29,Female,1,1.0,299.57,Data Science,Beginner,3.74,1,1.0,299.57,3,Data Science Beginners
U00100,32,Female,1,1.0,0.0,Digital Marketing,Beginner,2.14,1,1.0,0.0,5,Digital Marketing Learners
U00101,15,Female,1,1.0,89.59,Artificial Intelligence,Intermediate,2.68,1,2.0,89.59,0,AI Beginner Learners
U00102,32,Male,1,1.0,299.57,Data Science,Beginner,3.74,1,1.0,299.57,3,Data Science Beginners
U00103,30,Female,1,1.0,0.0,Business,Advanced,2.0,1,3.0,0.0,1,Business Advanced Learners
U00104,19,Male,1,1.0,53.86,Finance,Beginner,2.47,1,1.0,53.86,2,Cybersecurity Beginners
U00105,27,Male,1,1.0,299.57,Data Science,Beginner,3.74,1,1.0,299.57,3,Data Science Beginners
U00106,19,Male,2,1.0,28.66,Digital Marketing,Advanced,3.4400000000000004,2,2.0,57.32,5,Digital Marketing Learners
U00107,18,Female,1,1.0,0.0,Programming,Beginner,3.85,1,1.0,0.0,2,Cybersecurity Beginners
U00108,32,Male,2,1.0,0.0,Design,Advanced,2.965,2,2.0,0.0,7,Deep Design Learners
U00109,15,Female,14,1.5555555555555556,62.12642857142857,Data Science,Beginner,3.157857142857143,10,1.6428571428571428,869.77,4,Highly Engaged AI Explorers
U00110,26,Female,1,1.0,487.92,Business,Advanced,3.64,1,3.0,487.92,1,Business Advanced Learners
U00111,24,Male,1,1.0,0.0,Digital Marketing,Beginner,2.14,1,1.0,0.0,5,Digital Marketing Learners
U00112,34,Female,14,1.5555555555555556,40.41428571428571,Data Science,Advanced,3.165714285714286,9,2.0,565.8,4,Highly Engaged AI Explorers
U00113,19,Male,1,1.0,346.71,Project Management,Advanced,1.23,1,3.0,346.71,0,AI Beginner Learners
U00114,22,Female,1,1.0,0.0,Cybersecurity,Advanced,2.38,1,3.0,0.0,2,Cybersecurity Beginners
U00115,32,Female,1,1.0,0.0,Machine Learning,Intermediate,1.73,1,2.0,0.0,6,Advanced Machine Learning Learners
U00116,31,Male,1,1.0,0.0,Design,Advanced,1.52,1,3.0,0.0,7,Deep Design Learners
U00117,19,Female,13,1.625,145.06692307692308,Cybersecurity,Beginner,3.373076923076923,9,1.7692307692307692,1885.87,4,Highly Engaged AI Explorers
U00118,28,Female,1,1.0,0.0,Business,Advanced,2.0,1,3.0,0.0,1,Business Advanced Learners
U00119,28,Male,1,1.0,57.32,Web Development,Advanced,4.74,1,3.0,57.32,9,Advanced Web Development Learners
U00120,15,Male,2,1.0,207.755,Artificial Intelligence,Beginner,3.215,2,1.5,415.51,0,AI Beginner Learners
U00121,27,Female,2,1.0,164.385,Machine Learning,Advanced,2.7,2,2.0,328.77,6,Advanced Machine Learning Learners
U00122,21,Female,2,1.0,0.0,Digital Marketing,Beginner,2.895,2,1.5,0.0,5,Digital Marketing Learners
U00123,18,Female,2,1.0,178.445,Data Science,Advanced,4.24,2,2.0,356.89,3,Data Science Beginners
U00124,19,Female,2,1.0,230.245,Artificial Intelligence,Advanced,2.175,2,2.0,460.49,0,AI Beginner Learners
U00125,35,Female,2,2.0,163.01,Business,Advanced,2.25,2,2.5,326.02,1,Business Advanced Learners
U00126,23,Female,14,1.4,77.4692857142857,Digital Marketing,Beginner,3.457142857142857,7,1.7857142857142858,1084.57,4,Highly Engaged AI Explorers
U00127,34,Female,3,1.0,301.1433333333334,Artificial Intelligence,Advanced,3.846666666666667,3,2.6666666666666665,903.4300000000001,0,AI Beginner Learners
U00128,35,Female,13,1.8571428571428572,139.51153846153846,Artificial Intelligence,Beginner,3.106923076923077,8,1.9230769230769231,1813.65,4,Highly Engaged AI Explorers
U00129,19,Male,2,1.0,207.755,Artificial Intelligence,Intermediate,3.885,2,2.0,415.51,0,AI Beginner Learners
U00130,17,Male,1,1.0,248.1,Artificial Intelligence,Beginner,1.2,1,1.0,248.1,0,AI Beginner Learners
U00131,19,Male,1,1.0,0.0,Business,Advanced,3.15,1,3.0,0.0,1,Business Advanced Learners
U00132,22,Male,1,1.0,0.0,Machine Learning,Beginner,1.13,1,1.0,0.0,6,Advanced Machine Learning Learners
U00133,21,Male,14,1.5555555555555556,59.166428571428575,Marketing,Beginner,2.830714285714286,9,1.9285714285714286,828.33,4,Highly Engaged AI Explorers
U00134,26,Female,14,1.75,102.72928571428572,Finance,Advanced,3.3528571428571428,8,2.142857142857143,1438.21,4,Highly Engaged AI Explorers
U00135,17,Female,1,1.0,0.0,Data Science,Intermediate,3.02,1,2.0,0.0,3,Data Science Beginners
U00136,25,Female,1,1.0,0.0,Business,Advanced,3.15,1,3.0,0.0,1,Business Advanced Learners
U00137,15,Female,2,1.0,230.145,Data Science,Advanced,3.705,2,2.5,460.29,3,Data Science Beginners
U00138,26,Male,2,1.0,0.0,Design,Advanced,1.8699999999999999,2,2.0,0.0,7,Deep Design Learners
U00139,16,Female,4,1.0,62.025,Artificial Intelligence,Advanced,1.8275000000000001,4,2.0,248.1,0,AI Beginner Learners
U00140,24,Female,2,1.0,26.93,Digital Marketing,Beginner,3.5650000000000004,2,1.5,53.86,5,Digital Marketing Learners
U00141,20,Male,1,1.0,0.0,Programming,Beginner,2.88,1,1.0,0.0,2,Cybersecurity Beginners
U00142,17,Female,1,1.0,472.28,Programming,Beginner,4.74,1,1.0,472.28,0,AI Beginner Learners
U00143,26,Male,2,1.0,88.67,Cybersecurity,Advanced,4.415,2,2.0,177.34,2,Cybersecurity Beginners
U00144,24,Female,13,1.4444444444444444,73.35923076923076,Finance,Intermediate,3.173076923076923,7,2.230769230769231,953.67,4,Highly Engaged AI Explorers
U00145,23,Female,1,1.0,0.0,Cybersecurity,Beginner,4.94,1,1.0,0.0,2,Cybersecurity Beginners
U00146,30,Female,1,1.0,0.0,Digital Marketing,Beginner,4.44,1,1.0,0.0,5,Digital Marketing Learners
U00147,30,Male,12,1.7142857142857142,99.64,Data Science,Beginner,3.0775,9,1.8333333333333333,1195.68,4,Highly Engaged AI Explorers
U00148,35,Female,1,1.0,0.0,Data Science,Intermediate,3.02,1,2.0,0.0,3,Data Science Beginners
U00149,17,Female,10,1.4285714285714286,90.64099999999999,Artificial Intelligence,Advanced,3.303,8,2.1,906.41,4,Highly Engaged AI Explorers
U00150,25,Male,2,1.0,0.0,Cybersecurity,Advanced,3.245,2,2.5,0.0,2,Cybersecurity Beginners
U00151,16,Female,1,1.0,0.0,Digital Marketing,Beginner,4.44,1,1.0,0.0,5,Digital Marketing Learners
U00152,19,Female,12,2.0,114.07666666666665,Cybersecurity,Beginner,3.296666666666667,9,1.6666666666666667,1368.9199999999998,4,Highly Engaged AI Explorers
U00153,35,Male,2,1.0,18.945,Programming,Advanced,2.575,2,2.0,37.89,2,Cybersecurity Beginners
U00154,29,Male,1,1.0,248.1,Artificial Intelligence,Beginner,1.2,1,1.0,248.1,0,AI Beginner Learners
U00155,27,Male,2,1.0,0.0,Finance,Beginner,3.71,2,1.5,0.0,2,Cybersecurity Beginners
U00156,17,Male,1,1.0,0.0,Finance,Advanced,1.59,1,3.0,0.0,2,Cybersecurity Beginners
U00157,32,Female,2,1.0,106.195,Cybersecurity,Advanced,2.53,2,2.5,212.39,2,Cybersecurity Beginners
U00158,35,Female,1,1.0,0.0,Programming,Beginner,1.28,1,1.0,0.0,2,Cybersecurity Beginners
U00159,16,Male,2,1.0,26.93,Finance,Beginner,2.1,2,1.5,53.86,2,Cybersecurity Beginners
U00160,28,Female,1,1.0,327.99,Project Management,Beginner,1.51,1,1.0,327.99,0,AI Beginner Learners
U00161,25,Female,11,1.2222222222222223,55.054545454545455,Business,Advanced,2.8972727272727274,7,2.1818181818181817,605.6,1,Business Advanced Learners
U00162,26,Male,1,1.0,0.0,Finance,Advanced,1.59,1,3.0,0.0,2,Cybersecurity Beginners
U00163,32,Female,1,1.0,0.0,Project Management,Intermediate,3.45,1,2.0,0.0,0,AI Beginner Learners
U00164,32,Male,2,1.0,0.0,Machine Learning,Advanced,3.2700000000000005,1,2.5,0.0,6,Advanced Machine Learning Learners
U00165,30,Male,4,1.0,104.955,Artificial Intelligence,Intermediate,2.995,4,2.0,419.82,0,AI Beginner Learners
U00166,33,Male,15,1.5,16.592,Machine Learning,Intermediate,3.1886666666666668,9,1.9333333333333333,248.88,6,Advanced Machine Learning Learners
U00167,31,Female,1,1.0,0.0,Cybersecurity,Beginner,4.94,1,1.0,0.0,2,Cybersecurity Beginners
U00168,24,Female,1,1.0,326.02,Business,Intermediate,2.69,1,2.0,326.02,1,Business Advanced Learners
U00169,24,Male,13,1.625,43.62769230769231,Design,Advanced,2.636923076923077,11,2.076923076923077,567.16,4,Highly Engaged AI Explorers
U00170,34,Female,3,1.0,0.0,Programming,Beginner,2.72,3,1.0,0.0,2,Cybersecurity Beginners
U00171,24,Male,2,1.0,0.0,Project Management,Beginner,4.0649999999999995,1,1.5,0.0,0,AI Beginner Learners
U00172,35,Female,1,1.0,0.0,Machine Learning,Intermediate,4.73,1,2.0,0.0,6,Advanced Machine Learning Learners
U00173,31,Male,14,2.0,78.20142857142856,Artificial Intelligence,Beginner,3.1978571428571425,10,1.7142857142857142,1094.82,4,Highly Engaged AI Explorers
U00174,29,Male,1,1.0,212.39,Digital Marketing,Advanced,3.15,1,3.0,212.39,5,Digital Marketing Learners
U00175,32,Female,2,1.0,245.45,Artificial Intelligence,Beginner,2.915,2,1.0,490.9,0,AI Beginner Learners
U00176,34,Male,1,1.0,0.0,Project Management,Beginner,4.68,1,1.0,0.0,0,AI Beginner Learners
U00177,29,Female,14,2.0,109.03857142857143,Finance,Beginner,3.0235714285714286,9,1.7142857142857142,1526.54,4,Highly Engaged AI Explorers
U00178,20,Male,14,1.75,16.90857142857143,Data Science,Beginner,3.54,10,1.9285714285714286,236.72000000000003,4,Highly Engaged AI Explorers
U00179,34,Male,2,1.0,243.96,Business,Advanced,2.685,2,2.5,487.92,1,Business Advanced Learners
U00180,26,Female,1,1.0,0.0,Machine Learning,Intermediate,4.73,1,2.0,0.0,6,Advanced Machine Learning Learners
U00181,32,Female,1,1.0,299.57,Data Science,Beginner,3.74,1,1.0,299.57,3,Data Science Beginners
U00182,28,Female,1,1.0,0.0,Finance,Intermediate,4.1,1,2.0,0.0,2,Cybersecurity Beginners
U00183,33,Male,1,1.0,0.0,Machine Learning,Intermediate,4.73,1,2.0,0.0,6,Advanced Machine Learning Learners
U00184,28,Male,1,1.0,0.0,Cybersecurity,Advanced,2.38,1,3.0,0.0,2,Cybersecurity Beginners
U00185,27,Male,1,1.0,57.32,Web Development,Advanced,4.74,1,3.0,57.32,9,Advanced Web Development Learners
U00186,28,Female,2,1.0,163.01,Business,Intermediate,3.0700000000000003,2,2.0,326.02,1,Business Advanced Learners
U00187,18,Male,1,1.0,472.28,Programming,Beginner,4.74,1,1.0,472.28,0,AI Beginner Learners
U00188,18,Male,1,1.0,0.0,Design,Advanced,1.52,1,3.0,0.0,7,Deep Design Learners
U00189,18,Male,1,1.0,0.0,Finance,Advanced,1.59,1,3.0,0.0,2,Cybersecurity Beginners
U00190,25,Female,1,1.0,487.92,Business,Advanced,3.64,1,3.0,487.92,1,Business Advanced Learners
U00191,34,Male,12,1.7142857142857142,188.225,Project Management,Beginner,3.955833333333333,8,1.8333333333333333,2258.7,4,Highly Engaged AI Explorers
U00192,17,Male,14,2.0,48.576428571428565,Web Development,Beginner,3.440714285714286,9,1.7857142857142858,680.0699999999999,4,Highly Engaged AI Explorers
U00193,33,Male,1,1.0,0.0,Marketing,Advanced,4.79,1,3.0,0.0,8,Advanced Marketing Learners
U00194,35,Male,1,1.0,0.0,Data Science,Intermediate,3.02,1,2.0,0.0,3,Data Science Beginners
U00195,15,Male,1,1.0,346.71,Project Management,Advanced,1.23,1,3.0,346.71,0,AI Beginner Learners
U00196,23,Female,1,1.0,394.26,Cybersecurity,Intermediate,1.35,1,2.0,394.26,2,Cybersecurity Beginners
U00197,35,Female,1,1.0,0.0,Data Science,Intermediate,3.6,1,2.0,0.0,3,Data Science Beginners
U00198,30,Female,12,1.3333333333333333,103.52833333333335,Finance,Beginner,3.2741666666666664,7,1.75,1242.3400000000001,4,Highly Engaged AI Explorers
U00199,24,Female,1,1.0,0.0,Programming,Intermediate,2.43,1,2.0,0.0,2,Cybersecurity Beginners
U00200,32,Male,4,1.0,67.4275,Design,Advanced,3.4650000000000003,3,3.0,269.71,7,Deep Design Learners
U00201,16,Male,3,1.5,230.62666666666667,Artificial Intelligence,Advanced,2.676666666666667,3,2.0,691.88,0,AI Beginner Learners
U00202,28,Female,1,1.0,0.0,Programming,Beginner,3.85,1,1.0,0.0,2,Cybersecurity Beginners
U00203,25,Female,2,1.0,163.01,Business,Beginner,3.005,2,1.5,326.02,1,Business Advanced Learners
U00204,28,Female,1,1.0,0.0,Finance,Advanced,1.59,1,3.0,0.0,2,Cybersecurity Beginners
U00205,32,Male,1,1.0,342.61,Project Management,Intermediate,4.84,1,2.0,342.61,0,AI Beginner Learners
U00206,19,Female,1,1.0,89.59,Artificial Intelligence,Intermediate,2.68,1,2.0,89.59,0,AI Beginner Learners
U00207,33,Male,2,1.0,88.67,Digital Marketing,Advanced,2.585,2,2.0,177.34,5,Digital Marketing Learners
U00208,18,Female,15,1.5,33.84133333333333,Data Science,Beginner,3.1533333333333338,10,1.9333333333333333,507.62,4,Highly Engaged AI Explorers
U00209,26,Male,1,1.0,0.0,Business,Advanced,3.15,1,3.0,0.0,1,Business Advanced Learners
U00210,30,Male,2,1.0,18.945,Machine Learning,Advanced,1.5150000000000001,2,2.5,37.89,6,Advanced Machine Learning Learners
U00211,22,Male,1,1.0,0.0,Project Management,Beginner,4.68,1,1.0,0.0,0,AI Beginner Learners
U00212,30,Female,2,1.0,0.0,Programming,Beginner,4.265,2,1.0,0.0,2,Cybersecurity Beginners
U00213,15,Male,2,1.0,149.785,Data Science,Beginner,4.23,2,1.5,299.57,3,Data Science Beginners
U00214,24,Female,1,1.0,89.59,Artificial Intelligence,Intermediate,2.68,1,2.0,89.59,0,AI Beginner Learners
U00215,28,Male,1,1.0,326.02,Business,Intermediate,2.69,1,2.0,326.02,1,Business Advanced Learners
U00216,23,Male,16,1.7777777777777777,87.866875,Programming,Beginner,3.545625,10,1.75,1405.87,4,Highly Engaged AI Explorers
U00217,28,Male,1,1.0,37.89,Web Development,Advanced,1.3,1,3.0,37.89,9,Advanced Web Development Learners
U00218,15,Female,1,1.0,0.0,Marketing,Intermediate,4.72,1,2.0,0.0,8,Advanced Marketing Learners
U00219,23,Female,1,1.0,0.0,Design,Beginner,4.51,1,1.0,0.0,7,Deep Design Learners
U00220,20,Male,15,2.142857142857143,20.02333333333333,Programming,Beginner,3.6286666666666667,11,1.7333333333333334,300.34999999999997,4,Highly Engaged AI Explorers
U00221,27,Male,1,1.0,0.0,Design,Advanced,4.45,1,3.0,0.0,7,Deep Design Learners
U00222,28,Male,1,1.0,0.78,Machine Learning,Advanced,3.89,1,3.0,0.78,6,Advanced Machine Learning Learners
U00223,35,Female,1,1.0,0.0,Finance,Intermediate,4.1,1,2.0,0.0,2,Cybersecurity Beginners
U00224,15,Female,1,1.0,490.9,Artificial Intelligence,Beginner,4.55,1,1.0,490.9,0,AI Beginner Learners
U00225,18,Male,1,1.0,0.0,Finance,Intermediate,4.1,1,2.0,0.0,2,Cybersecurity Beginners
U00226,34,Female,1,1.0,346.71,Project Management,Advanced,1.23,1,3.0,346.71,0,AI Beginner Learners
U00227,23,Male,2,1.0,0.0,Design,Beginner,4.305,2,1.5,0.0,7,Deep Design Learners
U00228,18,Male,1,1.0,117.68,Data Science,Advanced,2.57,1,3.0,117.68,3,Data Science Beginners
U00229,22,Male,2,1.0,0.0,Data Science,Advanced,2.73,2,2.0,0.0,3,Data Science Beginners
U00230,17,Female,2,2.0,59.52,Digital Marketing,Beginner,3.595,2,1.5,119.04,5,Digital Marketing Learners
